"facility_id","name","category","nearest_node_id","address","lat","lng"
"F00232","서원정","음식점","ST001","충청남도 아산시 둔포면 둔포면로 29","36.929439","127.037679"
"F00233","맛있는김밥천국","음식점","ST001","충청남도 아산시 둔포면 둔포로 25","36.927430","127.037297"
"F00234","엔돌핀 노래나라","음식점","ST001","충청남도 아산시 둔포면 둔포로 25","36.927430","127.037297"
"F00235","엔돌핀노래나라","음식점","ST001","충청남도 아산시 둔포면 둔포로 25","36.927430","127.037297"
"F00236","호박노래클럽","음식점","ST001","충청남도 아산시 둔포면 둔포면로 22","36.928619","127.037555"
"F00237","다래다방","카페","ST001","충청남도 아산시 둔포면 둔포면로 24","36.928745","127.037623"
"F00238","싱싱포차","음식점","ST001","충청남도 아산시 둔포면 둔포면로 26","36.928998","127.037746"
"F00239","시크릿노래클럽","음식점","ST001","충청남도 아산시 둔포면 둔포면로 8-7","36.927673","127.037454"
"F00240","써니카페","음식점","ST001","충청남도 아산시 둔포면 둔포면로 26-1","36.929070","127.037780"
"F00241","전라도밥집","음식점","ST001","충청남도 아산시 둔포면 둔포면로 26-1","36.929070","127.037780"
"F00242","연지다방","카페","ST001","충청남도 아산시 둔포면 둔포면로 20-4","36.928358","127.037623"
"F00243","아리랑포차","음식점","ST001","충청남도 아산시 둔포면 둔포면로 20-3","36.928511","127.037679"
"F00244","나단란주점","음식점","ST001","충청남도 아산시 둔포면 둔포면로 28","36.929205","127.037859"
"F00245","59쌀피자","음식점","ST001","충청남도 아산시 둔포면 둔포로 26","36.927169","127.037420"
"F00246","둔포분식","음식점","ST001","충청남도 아산시 둔포면 둔포로 26","36.927169","127.037420"
"F00247","체어맨노래나라","음식점","ST001","충청남도 아산시 둔포면 둔포면로 30","36.929340","127.037904"
"F00248","향기노래홀","음식점","ST001","충청남도 아산시 둔포면 둔포면로 30","36.929340","127.037904"
"F00249","롯데리아아산","음식점","ST001","충청남도 아산시 둔포면 둔포중앙로 148","36.927511","127.037521"
